monday,Run_moving_time,Ride_moving_time,VirtualRide_moving_time,Other_moving_time,Swim_moving_time
04-23-2018,4197,0,0,0,0
04-30-2018,6267,0,0,0,0
07-16-2018,1817,0,0,0,0
07-23-2018,18677,0,0,372,0
07-30-2018,19238,0,0,1091,0
08-06-2018,6758,0,0,2722,0
08-13-2018,5052,0,0,3887,0
08-20-2018,16943,0,0,0,0
08-27-2018,18835,0,0,0,0
09-03-2018,20121,8519,0,0,0
09-10-2018,3481,0,0,13346,1510
09-17-2018,19119,0,0,0,2933
09-24-2018,19459,0,0,0,0
10-01-2018,22161,0,0,0,0
10-08-2018,4667,0,0,2904,4732
10-15-2018,14477,0,0,0,0
10-22-2018,18225,0,0,0,0
10-29-2018,21362,0,0,0,0
11-05-2018,23088,0,0,0,0
11-12-2018,25477,0,0,0,0
11-19-2018,26752,0,0,0,0
11-26-2018,26524,0,0,0,0
12-03-2018,23100,0,0,0,0
12-10-2018,28873,0,0,0,0
12-17-2018,14817,0,0,22975,0
12-24-2018,16283,10975,0,0,0
12-31-2018,17589,9234,0,2252,0
01-07-2019,22421,2103,0,0,0
01-14-2019,24216,0,0,1284,0
01-21-2019,25895,0,0,4040,0
01-28-2019,25679,0,0,796,0
02-04-2019,26135,0,0,1467,0
02-11-2019,30794,0,0,2374,0
02-18-2019,30761,0,0,319,0
02-25-2019,33346,0,0,3607,0
03-04-2019,3566,3094,0,21836,0
03-11-2019,20390,0,0,2605,0
03-18-2019,22282,0,0,0,0
03-25-2019,31525,0,0,2592,0
04-01-2019,34313,0,0,1243,0
04-08-2019,34961,0,0,4257,0
04-15-2019,15590,0,0,7860,0
04-22-2019,26215,0,0,38,0
04-29-2019,30181,0,0,1429,0
05-06-2019,28073,0,0,26,0
05-13-2019,30028,0,0,370,0
05-20-2019,31356,0,0,4785,0
05-27-2019,25311,0,0,2682,0
06-03-2019,29414,0,0,2326,0
06-10-2019,30651,0,0,1883,0
06-17-2019,31432,0,0,19,0
06-24-2019,31887,0,0,0,0
07-01-2019,31286,5206,0,1178,0
07-08-2019,7857,20854,0,4024,0
07-15-2019,0,28732,0,13588,0
07-22-2019,0,48107,1807,113,0
07-29-2019,0,26519,14495,0,0
08-05-2019,0,31588,10408,0,0
08-12-2019,0,25568,20477,0,0
08-19-2019,0,34473,12651,0,0
08-26-2019,0,26234,21201,0,0
09-02-2019,0,20073,3732,45898,0
09-09-2019,2714,10701,11539,13491,0
09-16-2019,9350,33350,0,1169,0
09-23-2019,13031,11830,8553,3844,0
09-30-2019,0,44831,5410,0,0
10-07-2019,864,22683,13864,0,0
10-14-2019,9967,10970,10580,0,0
10-21-2019,11105,5937,17908,1370,0
10-28-2019,10421,0,9274,0,0
11-04-2019,14048,0,9251,0,0
11-11-2019,8590,0,13628,0,0
11-18-2019,13236,0,3622,0,0
11-25-2019,14211,0,0,65,0
12-02-2019,3618,0,0,0,0
12-09-2019,17448,0,0,27378,0
12-16-2019,20951,0,0,3231,0
12-23-2019,23368,0,0,65,0
12-30-2019,16761,1640,0,3483,0
01-06-2020,25089,0,0,0,0
01-13-2020,15996,0,4329,2451,0
01-20-2020,12892,0,10711,1571,0
01-27-2020,16193,0,7851,1110,0
02-03-2020,11167,0,5474,346,0
02-10-2020,14037,0,10059,1600,0
02-17-2020,5244,0,3642,46,0
02-24-2020,5293,0,0,0,0
03-02-2020,16630,0,0,0,0
03-09-2020,11334,0,3677,0,0
03-16-2020,6833,0,22989,0,0
03-23-2020,8943,0,32041,0,0
03-30-2020,14402,0,16273,0,0
04-06-2020,19033,0,4890,0,0
04-13-2020,10712,0,8727,0,0
04-20-2020,15346,0,17920,0,0
04-27-2020,23567,0,0,0,0
05-04-2020,24952,0,6189,0,0
05-11-2020,24688,0,0,0,0
05-18-2020,17771,6142,0,7407,0
05-25-2020,24566,9443,0,758,0
06-01-2020,27257,9093,0,3989,0
06-08-2020,18641,26229,0,16703,0
06-15-2020,6803,60949,0,0,841
06-22-2020,8670,14666,0,1212,0
06-29-2020,9538,22196,0,0,0
07-06-2020,15860,16448,0,5088,0
07-13-2020,2431,59942,0,0,0
07-20-2020,7086,25371,0,0,0
07-27-2020,15594,0,0,14130,0
08-03-2020,11774,20156,0,0,0
08-10-2020,0,44670,0,0,0
08-17-2020,1029,27355,0,5746,0
08-24-2020,4825,22095,0,0,0
08-31-2020,7520,33279,0,0,0
09-07-2020,8800,12765,7920,0,0
09-14-2020,16105,0,0,2208,0
09-21-2020,10642,0,2301,5349,0
09-28-2020,2397,0,5690,3233,0
10-05-2020,6248,0,11138,0,0
10-12-2020,12232,0,7561,3081,0
10-19-2020,9754,0,7667,0,0
10-26-2020,13763,0,6414,0,0
11-02-2020,13309,5320,5688,0,0
11-09-2020,14602,5936,1638,5722,0
11-16-2020,16140,0,9080,4368,0
11-23-2020,13761,0,6015,12212,0
11-30-2020,18840,0,8190,0,0
12-07-2020,4923,0,26205,0,0
12-14-2020,7918,0,19481,0,0
12-21-2020,0,0,4963,0,0
